0.1
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;1.66667e-07;1.5708;2;-1.66667e-07;1.66667e-07;-1.66667e-07;1.66667e-07
2;-1.5708;-0.785398;0.785398;2;-0.785398;-0.785398;-0.707107;-0.707107
3;-1.5708;-1.1781;0.392699;2;-1.1781;-1.1781;-0.92388;-0.923879
4;-1.5708;-1.37445;0.19635;2;-1.37445;-1.37445;-0.980785;-0.980785
5;-1.5708;-1.47262;0.0981751;2;-1.47262;-1.47262;-0.995185;-0.995185
6;-1.5708;-1.52171;0.0490877;1.99999;-1.52171;-1.52171;-0.998795;-0.998795
7;-1.5708;-1.54625;0.024544;1.99999;-1.54625;-1.54625;-0.999699;-0.999699
8;-1.5708;-1.55852;0.0122722;1.99997;-1.55852;-1.55852;-0.999925;-0.999925
9;-1.5708;-1.56466;0.00613626;1.99995;-1.56466;-1.56466;-0.999981;-0.999981
10;-1.5708;-1.56773;0.00306829;1.99989;-1.56773;-1.56773;-0.999995;-0.999995
11;-1.5708;-1.56926;0.00153431;1.99978;-1.56926;-1.56926;-0.999999;-0.999999
12;-1.5708;-1.57003;0.000767324;1.99957;-1.57003;-1.57003;-1;-1
13;-1.5708;-1.57041;0.000383828;1.99913;-1.57041;-1.57041;-1;-1
14;-1.5708;-1.5706;0.000192081;1.99826;-1.5706;-1.5706;-1;-1
15;-1.5708;-1.5707;9.62071e-05;1.99654;-1.5707;-1.5707;-1;-1
16;-1.5708;-1.57075;4.82702e-05;1.99309;-1.57075;-1.57075;-1;-1
17;-1.5708;-1.57077;2.43018e-05;1.98628;-1.57077;-1.57077;-1;-1
18;-1.5708;-1.57078;1.23176e-05;1.97294;-1.57078;-1.57078;-1;-1
19;-1.5708;-1.57079;6.32545e-06;1.9473;-1.57079;-1.57079;-1;-1
20;-1.5708;-1.57079;3.32939e-06;1.89988;-1.57079;-1.57079;-1;-1
21;-1.5708;-1.57079;1.83136e-06;1.81799;-1.57079;-1.57079;-1;-1
22;-1.5708;-1.5708;1.08235e-06;1.69203;-1.5708;-1.5708;-1;-1
23;-1.5708;-1.5708;7.0784e-07;1.52908;-1.5708;-1.5708;-1;-1

1e-07
n;a;b;diff;ratio;x1;x2;f1;f2
1;-1.5708;1.66667e-08;1.5708;2;-1.66667e-08;1.66667e-08;-1.66667e-08;1.66667e-08
2;-1.5708;-0.785398;0.785398;2;-0.785398;-0.785398;-0.707107;-0.707107
3;-1.5708;-1.1781;0.392699;2;-1.1781;-1.1781;-0.92388;-0.92388
4;-1.5708;-1.37445;0.19635;2;-1.37445;-1.37445;-0.980785;-0.980785
5;-1.5708;-1.47262;0.0981748;2;-1.47262;-1.47262;-0.995185;-0.995185
6;-1.5708;-1.52171;0.0490874;2;-1.52171;-1.52171;-0.998795;-0.998795
7;-1.5708;-1.54625;0.0245437;2;-1.54625;-1.54625;-0.999699;-0.999699
8;-1.5708;-1.55852;0.0122719;2;-1.55852;-1.55852;-0.999925;-0.999925
9;-1.5708;-1.56466;0.00613596;1.99999;-1.56466;-1.56466;-0.999981;-0.999981
10;-1.5708;-1.56773;0.00306799;1.99999;-1.56773;-1.56773;-0.999995;-0.999995
11;-1.5708;-1.56926;0.00153401;1.99998;-1.56926;-1.56926;-0.999999;-0.999999
12;-1.5708;-1.57003;0.000767024;1.99996;-1.57003;-1.57003;-1;-1
13;-1.5708;-1.57041;0.000383529;1.99991;-1.57041;-1.57041;-1;-1
14;-1.5708;-1.5706;0.000191781;1.99983;-1.5706;-1.5706;-1;-1
15;-1.5708;-1.5707;9.59071e-05;1.99965;-1.5707;-1.5707;-1;-1
16;-1.5708;-1.57075;4.79702e-05;1.99931;-1.57075;-1.57075;-1;-1
17;-1.5708;-1.57077;2.40018e-05;1.99861;-1.57077;-1.57077;-1;-1
18;-1.5708;-1.57078;1.20176e-05;1.99723;-1.57078;-1.57078;-1;-1
19;-1.5708;-1.57079;6.02545e-06;1.99447;-1.57079;-1.57079;-1;-1
20;-1.5708;-1.57079;3.02939e-06;1.989;-1.57079;-1.57079;-1;-1
21;-1.5708;-1.57079;1.53136e-06;1.97823;-1.57079;-1.57079;-1;-1
22;-1.5708;-1.5708;7.82347e-07;1.95739;-1.5708;-1.5708;-1;-1
23;-1.5708;-1.5708;4.0784e-07;1.91827;-1.5708;-1.5708;-1;-1
24;-1.5708;-1.5708;2.20587e-07;1.84889;-1.5708;-1.5708;-1;-1
25;-1.5708;-1.5708;1.2696e-07;1.73745;-1.5708;-1.5708;-1;-1
26;-1.5708;-1.5708;8.01467e-08;1.5841;-1.5708;-1.5708;-1;-1

