0.1
n;a;b;diff;ratio;x1;x2;f1;f2
11;-1.5708;-1.55501;0.0157865;1.61803;-1.56477;-1.56104;-0.999982;-0.999952
12;-1.5708;-1.56104;0.00975659;1.61803;-1.56707;-1.56477;-0.999993;-0.999982
13;-1.5708;-1.56477;0.00602991;1.61803;-1.56849;-1.56707;-0.999997;-0.999993
14;-1.5708;-1.56707;0.00372669;1.61803;-1.56937;-1.56849;-0.999999;-0.999997
15;-1.5708;-1.56849;0.00230322;1.61803;-1.56992;-1.56937;-1;-0.999999
16;-1.5708;-1.56937;0.00142347;1.61803;-1.57025;-1.56992;-1;-1
17;-1.5708;-1.56992;0.000879751;1.61803;-1.57046;-1.57025;-1;-1
18;-1.5708;-1.57025;0.000543716;1.61803;-1.57059;-1.57046;-1;-1
19;-1.5708;-1.57046;0.000336035;1.61803;-1.57067;-1.57059;-1;-1
20;-1.5708;-1.57059;0.000207681;1.61803;-1.57072;-1.57067;-1;-1
21;-1.5708;-1.57067;0.000128354;1.61803;-1.57075;-1.57072;-1;-1
22;-1.5708;-1.57072;7.93271e-05;1.61803;-1.57077;-1.57075;-1;-1
23;-1.5708;-1.57075;4.90269e-05;1.61803;-1.57078;-1.57077;-1;-1
24;-1.5708;-1.57077;3.03003e-05;1.61803;-1.57078;-1.57078;-1;-1
25;-1.5708;-1.57078;1.87266e-05;1.61803;-1.57079;-1.57078;-1;-1
26;-1.5708;-1.57078;1.15737e-05;1.61803;-1.57079;-1.57079;-1;-1
27;-1.5708;-1.57079;7.15292e-06;1.61803;-1.57079;-1.57079;-1;-1
28;-1.5708;-1.57079;4.42075e-06;1.61803;-1.57079;-1.57079;-1;-1
29;-1.5708;-1.57079;2.73217e-06;1.61803;-1.5708;-1.57079;-1;-1
30;-1.5708;-1.57079;1.68858e-06;1.61803;-1.5708;-1.5708;-1;-1
31;-1.5708;-1.5708;1.0436e-06;1.61803;-1.5708;-1.5708;-1;-1
32;-1.5708;-1.5708;6.44979e-07;1.61803;-1.5708;-1.5708;-1;-1
33;-1.5708;-1.5708;3.98619e-07;1.61803;-1.5708;-1.5708;-1;-1
34;-1.5708;-1.5708;2.4636e-07;1.61803;-1.5708;-1.5708;-1;-1
35;-1.5708;-1.5708;1.52259e-07;1.61803;-1.5708;-1.5708;-1;-1
36;-1.5708;-1.5708;9.41011e-08;1.61803;-1.5708;-1.5708;-1;-1

