0.1
n;a;b;diff;ratio;x1;x2;f1;f2
28;-1.5708;-1.57079;4.42086e-06;1.61798;-1.57079;-1.57079;-1;-1
29;-1.5708;-1.57079;2.73199e-06;1.61818;-1.5708;-1.57079;-1;-1
30;-1.5708;-1.57079;1.68887e-06;1.61765;-1.5708;-1.5708;-1;-1
31;-1.5708;-1.5708;1.04312e-06;1.61905;-1.5708;-1.5708;-1;-1
32;-1.5708;-1.5708;6.45744e-07;1.61538;-1.5708;-1.5708;-1;-1
33;-1.5708;-1.5708;3.97381e-07;1.625;-1.5708;-1.5708;-1;-1
34;-1.5708;-1.5708;2.48363e-07;1.6;-1.5708;-1.5708;-1;-1
35;-1.5708;-1.5708;1.49018e-07;1.66667;-1.5708;-1.5708;-1;-1
36;-1.5708;-1.5708;9.93452e-08;1.5;-1.5708;-1.5708;-1;-1
1.5708
