J2;r(k) = 0.8 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);1;1e-05;14;1040;(0.291973,0.121483);3.06269
(-1,-2);0.8;1e-05;13;994;(0.341355,0.175703);2.8883
(-1,-2);0.64;1e-05;12;940;(0.382616,0.221111);2.74635
(-1,-2);0.512;1e-05;13;987;(0.41693,0.258959);2.63088
(-1,-2);0.4096;1e-05;12;933;(0.445849,0.290201);2.53652
(-1,-2);0.32768;1e-05;11;883;(0.46935,0.316404);2.45985
(-1,-2);0.262144;1e-05;10;804;(0.488817,0.337609);2.39799
(-1,-2);0.209715;1e-05;9;749;(0.504645,0.35511);2.34789
(-1,-2);0.167772;1e-05;9;743;(0.517601,0.369283);2.3075
(-1,-2);0.134218;1e-05;10;789;(0.528061,0.380568);2.27538
(-1,-2);0.107374;1e-05;9;743;(0.536361,0.390183);2.24908
(-1,-2);0.0858993;1e-05;10;795;(0.543206,0.397741);2.22805
(-1,-2);0.0687195;1e-05;11;845;(0.548653,0.403879);2.2112
(-1,-2);0.0549756;1e-05;12;895;(0.553005,0.408856);2.19769
(-1,-2);0.0439805;1e-05;13;943;(0.556479,0.41289);2.18684


J2;r(k) =  0.9 * r(k - 1) * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);1;1e-05;14;1040;(0.291973,0.121483);3.06269
(-1,-2);0.9;1e-05;13;991;(0.316595,0.148015);2.97595
(-1,-2);0.729;1e-05;13;998;(0.359475,0.19562);2.82556
(-1,-2);0.478297;1e-05;11;885;(0.426167,0.269173);2.60019
(-1,-2);0.205891;1e-05;9;749;(0.505811,0.356393);2.34423
(-1,-2);0.038152;1e-05;13;947;(0.557951,0.415303);2.18125
(-1,-2);0.00131002;1e-05;10;793;(0.558474,0.440416);2.14769
(-1,-2);1.54454e-06;1e-05;10;793;(0.558664,0.440663);2.14707
(-1,-2);2.14704e-12;1e-05;10;793;(0.558664,0.440664);2.14707
(-1,-2);4.1488e-24;1e-05;10;793;(0.558664,0.440664);2.14707
(-1,-2);1.54913e-47;1e-05;10;793;(0.558664,0.440664);2.14707
(-1,-2);2.15982e-94;1e-05;10;793;(0.558664,0.440664);2.14707
(-1,-2);4.19833e-188;1e-05;10;793;(0.558664,0.440664);2.14707
(-1,-2);0;1e-05;10;793;(0.558664,0.440664);2.14707
(-1,-2);0;1e-05;10;793;(0.558664,0.440664);2.14707


J2;r(k) = sin(r(k - 1));r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-1,-2);1;1e-05;14;1040;(0.291973,0.121483);3.06269
(-1,-2);0.841471;1e-05;14;1046;(0.330713,0.164135);2.92526
(-1,-2);0.745624;1e-05;13;998;(0.355343,0.190638);2.84054
(-1,-2);0.67843;1e-05;12;940;(0.372733,0.209785);2.78076
(-1,-2);0.627572;1e-05;12;939;(0.386107,0.224492);2.73525
(-1,-2);0.587181;1e-05;12;940;(0.396823,0.236186);2.6992
(-1,-2);0.554016;1e-05;12;940;(0.405605,0.246402);2.66882
(-1,-2);0.526107;1e-05;13;988;(0.413102,0.25472);2.64367
(-1,-2);0.502171;1e-05;11;885;(0.420013,0.261874);2.6214
(-1,-2);0.481329;1e-05;11;885;(0.425312,0.268243);2.60299
(-1,-2);0.462958;1e-05;11;885;(0.430487,0.273885);2.58599
(-1,-2);0.446597;1e-05;11;885;(0.435068,0.278921);2.57092
(-1,-2);0.431898;1e-05;12;931;(0.43952,0.283168);2.55733
(-1,-2);0.418596;1e-05;12;933;(0.443285,0.287334);2.54496
(-1,-2);0.406478;1e-05;12;933;(0.446741,0.291197);2.53358
