H1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;35;2268;(1.0044,0.904405);1.04121
(1,2);1.3;1e-05;37;2416;(0.704151,0.574151);1.76372
(1,2);1.69;1e-05;38;2546;(0.314246,0.145246);2.98457
(1,2);2.197;1e-05;15;1213;(0.109735,-0.109736);3.81394
(1,2);2.8561;1e-05;10;793;(0.0839168,-0.0839182);3.81222
(1,2);3.71293;1e-05;7;577;(0.139447,-0.139448);3.85057
(1,2);4.82681;1e-05;5;417;(-0.00731978,0.00731865);4.0304
(1,2);6.27485;1e-05;4;346;(0.115429,-0.11543);3.81809
(1,2);8.15731;1e-05;6;425;(0.10373,-0.103731);3.81104
(1,2);10.6045;1e-05;4;299;(0.0701568,-0.0701583);3.82274
(1,2);13.7858;1e-05;3;221;(0.045999,-0.0460005);3.86044
(1,2);17.9216;1e-05;3;224;(0.0459992,-0.0460005);3.86044
(1,2);23.2981;1e-05;3;211;(0.0459991,-0.0460005);3.86044
(1,2);30.2875;1e-05;2;156;(-0.0220001,0.0219994);4.09816
(1,2);39.3738;1e-05;2;156;(-1.046,1.046);31.1604


H2;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;12;837;(0.461813,0.307875);2.4845
(1,2);1.3;1e-05;10;708;(0.390323,0.229237);2.7208
(1,2);1.69;1e-05;9;633;(0.330513,0.163528);2.92661
(1,2);2.197;1e-05;6;433;(0.281664,0.109699);3.10054
(1,2);2.8561;1e-05;6;404;(0.241813,0.0659899);3.24579
(1,2);3.71293;1e-05;5;350;(0.210023,0.0310244);3.36422
(1,2);4.82681;1e-05;4;263;(0.184779,0.00325619);3.45978
(1,2);6.27485;1e-05;5;346;(0.164753,-0.0186293);3.53628
(1,2);8.15731;1e-05;6;408;(0.14919,-0.0358008);3.59661
(1,2);10.6045;1e-05;7;511;(0.136819,-0.0491406);3.64435
(1,2);13.7858;1e-05;8;591;(0.127115,-0.0594504);3.68173
(1,2);17.9216;1e-05;12;845;(0.119861,-0.0675702);3.71057
(1,2);23.2981;1e-05;14;981;(0.1138,-0.0735862);3.73332
(1,2);30.2875;1e-05;16;1120;(0.109151,-0.0782204);3.75085
(1,2);39.3738;1e-05;19;1318;(0.105759,-0.0819257);3.76428


H3;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;8;567;(0.442804,0.287197);2.54593
(1,2);1.3;1e-05;6;448;(0.415557,0.256864);2.63638
(1,2);1.69;1e-05;6;444;(0.389998,0.229375);2.7211
(1,2);2.197;1e-05;6;438;(0.36694,0.203183);2.80097
(1,2);2.8561;1e-05;4;326;(0.345315,0.179821);2.87492
(1,2);3.71293;1e-05;6;422;(0.325285,0.157824);2.94489
(1,2);4.82681;1e-05;6;425;(0.306479,0.137504);3.01078
(1,2);6.27485;1e-05;5;378;(0.289653,0.118718);3.07138
(1,2);8.15731;1e-05;5;395;(0.273996,0.101375);3.12808
(1,2);10.6045;1e-05;6;447;(0.259445,0.0854378);3.18093
(1,2);13.7858;1e-05;8;591;(0.245992,0.0707535);3.23009
(1,2);17.9216;1e-05;9;646;(0.233882,0.0568805);3.27582
(1,2);23.2981;1e-05;6;488;(0.222529,0.0445225);3.31783
(1,2);30.2875;1e-05;6;474;(0.212119,0.0330276);3.35689
(1,2);39.3738;1e-05;7;544;(0.202495,0.0225861);3.39286
