H1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;0.001;17;1226;(0.94804,0.84804);1.15662
(0.05,0.2);1.3;0.001;14;983;(0.652244,0.522244);1.90095
(0.05,0.2);1.69;0.001;2;136;(0.305999,0.136999);3.01244
(0.05,0.2);2.197;0.001;6;426;(0.103699,-0.103699);3.81103
(0.05,0.2);2.8561;0.001;5;340;(0.0999925,-0.0999934);3.81
(0.05,0.2);3.71293;0.001;3;200;(0.0539995,-0.0540005);3.84524
(0.05,0.2);4.82681;0.001;3;200;(0.0677658,-0.0677665);3.82537
(0.05,0.2);6.27485;0.001;2;132;(-0.012,0.0119991);4.05102
(0.05,0.2);8.15731;0.001;2;131;(-0.076,0.0759987);4.42529
(0.05,0.2);10.6045;0.001;2;116;(-0.2,0.199999);5.64
(0.05,0.2);13.7858;0.001;2;116;(-0.2,0.199999);5.64
(0.05,0.2);17.9216;0.001;2;116;(-0.2,0.199999);5.64
(0.05,0.2);23.2981;0.001;2;116;(-0.2,0.199999);5.64
(0.05,0.2);30.2875;0.001;2;116;(-0.2,0.199999);5.64
(0.05,0.2);39.3738;0.001;2;116;(-0.2,0.199999);5.64


H1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;1e-05;33;2062;(0.995344,0.895343);1.05933
(0.05,0.2);1.3;1e-05;29;1769;(0.695702,0.565702);1.78569
(0.05,0.2);1.69;1e-05;3;182;(0.306666,0.137666);3.01019
(0.05,0.2);2.197;1e-05;7;472;(0.103699,-0.1037);3.81103
(0.05,0.2);2.8561;1e-05;5;340;(0.0999925,-0.0999934);3.81
(0.05,0.2);3.71293;1e-05;3;200;(0.0539995,-0.0540005);3.84524
(0.05,0.2);4.82681;1e-05;3;200;(0.0677658,-0.0677665);3.82537
(0.05,0.2);6.27485;1e-05;2;132;(-0.012,0.0119991);4.05102
(0.05,0.2);8.15731;1e-05;2;131;(-0.076,0.0759987);4.42529
(0.05,0.2);10.6045;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);13.7858;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);17.9216;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);23.2981;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);30.2875;1e-05;2;116;(-0.2,0.199999);5.64
(0.05,0.2);39.3738;1e-05;2;116;(-0.2,0.199999);5.64


H1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;1e-06;37;2246;(0.997305,0.897305);1.0554
(0.05,0.2);1.3;1e-06;32;1907;(0.697015,0.567015);1.78227
(0.05,0.2);1.69;1e-06;5;274;(0.307221,0.138222);3.0083
(0.05,0.2);2.197;1e-06;7;472;(0.103699,-0.1037);3.81103
(0.05,0.2);2.8561;1e-06;5;340;(0.0999925,-0.0999934);3.81
(0.05,0.2);3.71293;1e-06;3;200;(0.0539995,-0.0540005);3.84524
(0.05,0.2);4.82681;1e-06;3;200;(0.0677658,-0.0677665);3.82537
(0.05,0.2);6.27485;1e-06;2;132;(-0.012,0.0119991);4.05102
(0.05,0.2);8.15731;1e-06;2;131;(-0.076,0.0759987);4.42529
(0.05,0.2);10.6045;1e-06;2;116;(-0.2,0.199999);5.64
(0.05,0.2);13.7858;1e-06;2;116;(-0.2,0.199999);5.64
(0.05,0.2);17.9216;1e-06;2;116;(-0.2,0.199999);5.64
(0.05,0.2);23.2981;1e-06;2;116;(-0.2,0.199999);5.64
(0.05,0.2);30.2875;1e-06;2;116;(-0.2,0.199999);5.64
(0.05,0.2);39.3738;1e-06;2;116;(-0.2,0.199999);5.64
