H1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;35;2268;(1.0044,0.904405);1.04121
(1,2);1.3;1e-05;37;2416;(0.704151,0.574151);1.76372
(1,2);1.69;1e-05;38;2546;(0.314246,0.145246);2.98457
(1,2);2.197;1e-05;15;1213;(0.109735,-0.109736);3.81394
(1,2);2.8561;1e-05;10;793;(0.0839168,-0.0839182);3.81222
(1,2);3.71293;1e-05;7;577;(0.139447,-0.139448);3.85057
(1,2);4.82681;1e-05;5;417;(-0.00731978,0.00731865);4.0304
(1,2);6.27485;1e-05;4;346;(0.115429,-0.11543);3.81809
(1,2);8.15731;1e-05;6;425;(0.10373,-0.103731);3.81104
(1,2);10.6045;1e-05;4;299;(0.0701568,-0.0701583);3.82274
(1,2);13.7858;1e-05;3;221;(0.045999,-0.0460005);3.86044
(1,2);17.9216;1e-05;3;224;(0.0459992,-0.0460005);3.86044
(1,2);23.2981;1e-05;3;211;(0.0459991,-0.0460005);3.86044
(1,2);30.2875;1e-05;2;156;(-0.0220001,0.0219994);4.09816
(1,2);39.3738;1e-05;2;156;(-1.046,1.046);31.1604


H1;r(k) = r(k - 1) + 10;r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;35;2268;(1.0044,0.904405);1.04121
(1,2);11;1e-05;3;220;(0.0399995,-0.0400004);3.8736
(1,2);21;1e-05;3;224;(0.0459992,-0.0460005);3.86044
(1,2);31;1e-05;2;159;(-0.583334,0.583333);13.4792
(1,2);41;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);51;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);61;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);71;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);81;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);91;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);101;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);111;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);121;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);131;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);141;1e-05;2;156;(-1.046,1.046);31.1604


H1;r(k) = r(k - 1) * r(k - 1) + 0.03;r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(1,2);1;1e-05;35;2268;(1.0044,0.904405);1.04121
(1,2);1.03;1e-05;35;2274;(0.974689,0.871689);1.10431
(1,2);1.0909;1e-05;35;2278;(0.913354,0.804264);1.2403
(1,2);1.22006;1e-05;37;2414;(0.784272,0.662266);1.55242
(1,2);1.51855;1e-05;38;2506;(0.485797,0.333941);2.40811
(1,2);2.336;1e-05;13;1065;(0.0861868,-0.0861877);3.81125
(1,2);5.48691;1e-05;6;466;(0.117599,-0.117601);3.82003
(1,2);30.1362;1e-05;2;156;(-0.0220001,0.0219994);4.09816
(1,2);908.223;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);824868;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);6.80408e+11;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);4.62954e+23;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);2.14327e+47;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);4.5936e+94;1e-05;2;156;(-1.046,1.046);31.1604
(1,2);2.11012e+189;1e-05;2;156;(-1.046,1.046);31.1604
