G1; r(k) = 1.3 * r(k - 1); r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;0.001;15;1071;(0.949162,0.849162);1.15426
(0.05,0.2);1.3;0.001;7;484;(0.65461,0.52461);1.89457
(0.05,0.2);1.69;0.001;3;215;(0.56,0.44);2.1456
(0.05,0.2);2.197;0.001;3;204;(0.546,0.453999);2.15644
(0.05,0.2);2.8561;0.001;3;204;(0.546,0.453999);2.15644
(0.05,0.2);3.71293;0.001;3;204;(0.546,0.453999);2.15644
(0.05,0.2);4.82681;0.001;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);6.27485;0.001;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);8.15731;0.001;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);10.6045;0.001;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);13.7858;0.001;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);17.9216;0.001;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);23.2981;0.001;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);30.2875;0.001;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);39.3738;0.001;4;258;(0.531999,0.467998);2.17551


G1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;1e-05;31;1907;(0.995657,0.895657);1.0587
(0.05,0.2);1.3;1e-05;22;1262;(0.695503,0.565503);1.78621
(0.05,0.2);1.69;1e-05;4;261;(0.56,0.439999);2.1456
(0.05,0.2);2.197;1e-05;3;204;(0.546,0.453999);2.15644
(0.05,0.2);2.8561;1e-05;3;204;(0.546,0.453999);2.15644
(0.05,0.2);3.71293;1e-05;3;204;(0.546,0.453999);2.15644
(0.05,0.2);4.82681;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);6.27485;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);8.15731;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);10.6045;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);13.7858;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);17.9216;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);23.2981;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);30.2875;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);39.3738;1e-05;4;258;(0.531999,0.467998);2.17551


G1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;1e-06;35;2091;(0.997487,0.897487);1.05503
(0.05,0.2);1.3;1e-06;26;1446;(0.697397,0.567397);1.78127
(0.05,0.2);1.69;1e-06;4;261;(0.56,0.439999);2.1456
(0.05,0.2);2.197;1e-06;3;204;(0.546,0.453999);2.15644
(0.05,0.2);2.8561;1e-06;3;204;(0.546,0.453999);2.15644
(0.05,0.2);3.71293;1e-06;3;204;(0.546,0.453999);2.15644
(0.05,0.2);4.82681;1e-06;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);6.27485;1e-06;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);8.15731;1e-06;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);10.6045;1e-06;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);13.7858;1e-06;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);17.9216;1e-06;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);23.2981;1e-06;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);30.2875;1e-06;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);39.3738;1e-06;4;258;(0.531999,0.467998);2.17551
