G1; r(k) = 1.3 * r(k - 1); r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(-10,15);1;1e-05;46;3355;(1.0043,0.904299);1.04142
(-10,15);1.3;1e-05;46;3375;(0.704649,0.574649);1.76243
(-10,15);1.69;1e-05;23;2020;(0.565695,0.434304);2.14355
(-10,15);2.197;1e-05;16;1498;(0.550511,0.449487);2.15205
(-10,15);2.8561;1e-05;13;1255;(0.525716,0.474283);2.18674
(-10,15);3.71293;1e-05;11;1066;(0.561407,0.438592);2.14497
(-10,15);4.82681;1e-05;10;962;(0.601064,0.398934);2.1613
(-10,15);6.27485;1e-05;8;808;(0.545789,0.45421);2.15666
(-10,15);8.15731;1e-05;8;776;(0.589069,0.41093);2.14939
(-10,15);10.6045;1e-05;10;854;(0.622627,0.377371);2.19791
(-10,15);13.7858;1e-05;9;779;(0.556486,0.443512);2.14755
(-10,15);17.9216;1e-05;6;577;(0.577292,0.422707);2.14358
(-10,15);23.2981;1e-05;8;692;(0.547159,0.452);2.15602
(-10,15);30.2875;1e-05;7;630;(0.563999,0.436);2.14402
(-10,15);39.3738;1e-05;9;797;(0.506729,0.492729);2.23084


G1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(2,2);1;1e-05;35;2254;(1.00441,0.904405);1.04121
(2,2);1.3;1e-05;37;2405;(0.704151,0.57415);1.76373
(2,2);1.69;1e-05;14;1103;(0.581776,0.418223);2.14511
(2,2);2.197;1e-05;10;800;(0.58571,0.414289);2.14714
(2,2);2.8561;1e-05;6;512;(0.574993,0.425007);2.14312
(2,2);3.71293;1e-05;5;423;(0.58659,0.413409);2.14769
(2,2);4.82681;1e-05;4;342;(0.577766,0.422233);2.1437
(2,2);6.27485;1e-05;4;316;(0.531999,0.468);2.17551
(2,2);8.15731;1e-05;5;359;(0.531442,0.468557);2.17644
(2,2);10.6045;1e-05;5;387;(0.622292,0.377707);2.19719
(2,2);13.7858;1e-05;4;318;(0.53,0.469999);2.1789
(2,2);17.9216;1e-05;4;318;(0.53,0.469999);2.1789
(2,2);23.2981;1e-05;5;408;(0.596491,0.403508);2.15605
(2,2);30.2875;1e-05;5;414;(0.523999,0.475999);2.1901
(2,2);39.3738;1e-05;5;414;(0.523999,0.475999);2.1901


G1;r(k) = 1.3 * r(k - 1);r0 = 1
Нач. приближение;Коэффициент штрафа;Точность;Количество итераций;Число вычислений функции;Найденая точка;Значение функции в точке
(0.05,0.2);1;1e-05;31;1907;(0.995657,0.895657);1.0587
(0.05,0.2);1.3;1e-05;22;1262;(0.695503,0.565503);1.78621
(0.05,0.2);1.69;1e-05;4;261;(0.56,0.439999);2.1456
(0.05,0.2);2.197;1e-05;3;204;(0.546,0.453999);2.15644
(0.05,0.2);2.8561;1e-05;3;204;(0.546,0.453999);2.15644
(0.05,0.2);3.71293;1e-05;3;204;(0.546,0.453999);2.15644
(0.05,0.2);4.82681;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);6.27485;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);8.15731;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);10.6045;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);13.7858;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);17.9216;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);23.2981;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);30.2875;1e-05;4;258;(0.531999,0.467998);2.17551
(0.05,0.2);39.3738;1e-05;4;258;(0.531999,0.467998);2.17551
