Количество случайных проб;Количество вычислений функций;Найденная точка;Значение функции в точке
20;28879;(-9.00766,-2.96746);-8.29481
40;13857;(-9.00766,-2.96746);-8.29481
80;40302;(-9.00766,-2.96746);-8.29481
160;76875;(-9.00766,-2.96746);-8.29481
320;197214;(-9.00766,-2.96746);-8.29481
640;861184;(-9.00766,-2.96746);-8.29481
1280;715151;(-9.00766,-2.96746);-8.29481
2560;1407556;(-9.00766,-2.96746);-8.29481
5120;2073685;(-9.00766,-2.96746);-8.29481
10240;4335979;(-9.00766,-2.96746);-8.29481
