Количество случайных проб;Количество вычислений функций;Найденная точка;Значение функции в точке
20;411;(-6.02122,-4.98447);-6.68376
40;431;(-6.02122,-4.98447);-6.68376
80;471;(-6.02122,-4.98447);-6.68376
160;551;(-6.02122,-4.98447);-6.68376
320;711;(-6.02122,-4.98447);-6.68376
640;1488;(-9.00778,-2.96745);-8.29481
1280;2631;(-9.00766,-2.96749);-8.29481
2560;3215;(-9.0077,-2.96745);-8.29481
5120;5959;(-9.00769,-2.96746);-8.29481
10240;11181;(-9.00765,-2.96777);-8.29481
